"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,16,121053947,1,11,12974470
2019,5,121053958,1,11,12974477
2019,1,121053958,57,1,12974475
2019,17,121053867,3,9,12974460
2019,5,121065093,1,1,12964460
2019,4,121053958,2,1,12974476
2019,16,121065211,1,11,12974487
2019,12,121065211,1,11,12974486
2019,12,121054068,2,1,12979628
2019,17,121054071,0.1,1,12979629
2019,5,121060694,0.011,10,12964529
2019,5,121065868,5,1,12979759
2019,5,121054561,3.5,1,12974593
2019,17,121069685,1,1,12979794
2019,5,121069691,159,1,12974613
2019,13,121069691,1,9,12979796
2019,12,121069691,2,9,12979795
2019,5,121066092,0.001,1,12979802
2019,4,121069760,1,1,12974624
2019,5,121066216,0.1,1,12979816
2019,5,121066236,1,1,12979825
2019,1,121069789,1,1,12974631
2019,5,121069799,1,1,12964583
2019,5,121069804,1,9,12974634
2019,4,121069815,1,1,12964584
2019,5,121066263,1,1,12974636
2019,5,121066269,1,1,12979832
2019,16,121066274,1,9,12974643
2019,4,121069833,1,1,12974644
2019,16,121069833,1,9,12974645
2019,5,121069846,28.3,1,12964588
2019,5,121069862,1,1,12974651
2019,5,121069996,1,1,12974667
2019,1,121066547,0.001,1,12979864
2019,5,121070040,1,1,12979867
2019,5,121061236,8.3,1,12964619
2019,5,121061241,13.3,1,12979869
2019,5,121066598,0.001,1,12979875
2019,1,121066613,4,1,12964623
2019,5,121070092,0.5,1,12974686
2019,5,121061304,11.6,1,12964637
2019,5,121061323,2,1,12974691
2019,5,121070161,10,1,12974696
2019,5,121070171,3,1,12974697
2019,10,121066888,1,9,12979924
2019,5,121067042,2,9,12979953
2019,1,121067065,0.001,9,12979954
2019,12,121067178,0.5,1,12979968
2019,17,121061703,,,12974744
2019,1,121070525,0.01,1,12974745
2019,4,121070525,0.02,1,12964699
2019,2,121070628,8.007,1,12974761
2019,5,121070628,96.4,1,12964711
2019,17,121070628,21.2,1,12974760
2019,16,121067071,1,1,12979956
2019,5,121070431,0.001,1,12979959
2019,5,121067341,0.001,1,12964712
2019,16,121070795,66.4,1,12974792
2019,12,121070795,31.6,1,12974790
2019,16,121062051,2,9,12964767
2019,12,121067573,0.9,1,12964772
2019,16,121067573,1,11,12974819
2019,8,121062093,24.9,1,12964774
2019,5,121062119,30,1,12964780
2019,5,121070994,86.36,1,12980050
2019,1,121067695,23.1,1,12980056
2019,5,121062349,5.27,1,12974875
2019,8,121067896,1.31,1,12974898
2019,5,121071288,23.7,1,12974906
2019,5,121071359,0.5,1,12974919
2019,16,121071359,1,1,12974918
2019,17,121071428,,,12974927
2019,5,121071492,1,1,12974939
2019,5,121068069,11.2,1,12980123
2019,4,121069314,2.1,1,12965003
2019,1,121073615,1,1,12975273
2019,5,121073615,1,1,12975274
2019,12,121073627,2.469,1,12965127
2019,12,121073636,1.6,1,12975278
2019,5,121073639,1068.99,1,12965133
2019,3,121073639,243.28,1,12965132
