"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2019,124640591,1,
2019,124640906,10,
2019,124640985,1,
2019,126665775,1,
2019,126657027,10,
2019,126650069,9,
2019,126652215,1,
2019,126651197,10,
2019,130367147,1,
2019,130376501,1,
2019,134713898,9,
2019,135407259,10,
2019,130373153,1,
2019,134715634,10,
2019,130359597,1,
2019,135218789,10,
2019,123098790,9,
2019,123125563,9,
2019,117854954,6,
2019,115659237,6,
2019,123397541,10,
2019,123416273,10,
2019,123104349,10,
2019,115648078,1,
2019,125528259,10,
2019,125533790,10,
2019,125538101,9,
2019,126646968,9,
2019,125516015,9,
2019,123019452,1,
2019,123023323,9,
2019,123423524,1,
2019,123437612,10,
2019,123109313,1,
2019,125530722,9,
2019,126655622,9,
2019,129345821,9,
2019,129337509,1,
2019,125497419,10,
2019,125502388,1,
2019,125530262,10,
2019,125539943,10,
2019,126646151,2,
2019,126651942,10,
2019,125523025,10,
2019,125532737,10,
2019,125521689,6,
2019,125530924,10,
2019,125527216,10,
2019,127478973,1,
2019,127482376,9,
2019,127482598,1,
2019,127482815,1,
2019,127482821,9,
2019,127482835,1,
2019,127497953,10,
2019,127498534,1,
2019,126652784,1,
2019,125533337,10,
2019,125535926,1,
2019,129363614,10,
2019,129364729,1,
2019,131397754,10,
2019,131408510,1,
2019,131444379,1,
2019,127468408,10,
2019,127456882,10,
2019,129361230,10,
2019,129354505,10,
2019,129343147,10,
2019,123948426,1,
2019,129362050,10,
2019,127480588,1,
2019,127480990,1,
2019,127480991,1,
2019,127481183,10,
2019,128498342,1,
2019,128469568,9,
2019,128491151,10,
2019,128494344,10,
2019,128484130,1,
2019,128496216,10,
2019,128501236,1,
2019,129317533,10,
2019,128503884,10,
2019,129335509,10,
2019,129346543,10,
2019,128471864,1,
2019,128472861,10,
2019,128486516,10,
2019,128487152,1,
2019,128495523,1,
2019,128502436,10,
2019,128466553,1,
2019,128501573,10,
2019,128508693,10,
2019,128511284,1,
2019,128498224,1,
2019,128500670,10,
2019,128501003,1,
2019,131445490,9,
2019,123894619,10,
2019,131446494,10,
2019,131396840,1,
2019,123426625,1,
2019,123425751,1,
2019,123406533,2,
2019,123420075,1,
2019,116822633,10,
2019,132887610,10,
2019,132899336,10,
2019,132895726,9,
2019,123410168,10,
2019,123437315,10,
2019,123121502,10,
2019,123380129,10,
2019,123103698,1,
2019,123100590,1,
2019,123393059,1,
2019,125511934,10,
2019,129335582,10,
2019,129357939,10,
2019,131413754,10,
2019,131418643,6,
2019,131432297,10,
2019,123951827,1,
2019,131438475,1,
2019,131404330,1,
2019,131414506,1,
2019,131428686,10,
2019,131424383,1,
2019,131431362,9,
2019,131430460,10,
2019,125536749,10,
2019,125544569,1,
2019,125545165,10,
2019,131381528,1,
2019,131425943,9,
2019,131430696,1,
2019,131442486,10,
2019,131396579,10,
2019,131430831,10,
2019,123947805,1,
2019,123947973,9,
2019,123948049,1,
2019,123923943,9,
2019,123920464,1,
2019,123932796,10,
2019,123948275,1,
2019,123944014,1,
2019,123135006,10,
2019,123948796,10,
2019,123948843,10,
2019,123946062,6,
2019,124660985,6,
2019,124662881,10,
2019,124661773,1,
2019,124662491,10,
2019,124672400,10,
2019,135418435,1,
2019,130385327,10,
2019,124657979,10,
2019,130374865,8,
2019,130382273,9,
2019,123121068,3,
2019,116818193,10,
2019,116799872,10,
2019,115704758,10,
2019,127456849,10,
2019,133798862,1,
2019,127472888,1,
2019,127489752,10,
2019,127489856,1,
2019,127489859,10,
2019,130391643,10,
2019,134724773,9,
2019,128492285,6,
2019,128510044,1,
2019,128488050,1,
2019,128492858,9,
2019,128495482,10,
2019,135411838,1,
2019,133802300,10,
2019,115647240,8,
2019,123942371,9,
2019,123921294,9,
2019,123931872,1,
2019,123934311,10,
2019,123946616,10,
2019,123956126,9,
2019,123921021,1,
2019,130379656,3,
2019,123920773,1,
2019,123931288,6,
2019,123925109,1,
2019,124634634,10,
2019,124656936,10,
2019,123927180,9,
2019,133027365,10,
2019,123404810,1,
2019,133027559,10,
2019,123958810,10,
2019,123012626,1,
2019,123107853,1,
2019,123109203,1,
2019,123100106,10,
2019,123010877,10,
2019,123100745,10,
2019,124642257,1,
2019,123409250,1,
2019,130369037,10,
2019,123409983,10,
2019,123946719,1,
2019,123936871,10,
2019,123895681,10,
2019,123945002,1,
2019,123423408,1,
2019,125531985,1,
2019,123385289,6,
2019,123413641,1,
2019,123413642,1,
2019,123924330,6,
2019,123920545,10,
2019,123925667,9,
2019,133803750,1,
2019,129347343,1,
2019,129335010,10,
2019,129329782,10,
2019,129357175,1,
2019,129368435,10,
2019,127453288,8,
2019,124627433,10,
2019,127478563,10,
2019,124649768,6,
2019,125520712,8,
2019,125535645,1,
2019,126642029,9,
2019,126637492,10,
2019,126646679,8,
2019,126640612,6,
2019,127485760,9,
2019,127456201,10,
2019,127492933,10,
2019,127493413,9,
2019,123397047,9,
2019,123410225,1,
2019,124649010,10,
2019,124670967,1,
2019,124672256,10,
2019,123408080,10,
2019,124651380,10,
2019,124670193,9,
2019,124671465,10,
2019,124671913,10,
2019,124672354,10,
2019,123947820,10,
2019,125501344,1,
2019,125523166,10,
2019,125528165,1,
2019,123949793,10,
2019,123895788,10,
2019,131424544,10,
2019,131441783,10,
2019,131441844,9,
2019,124645580,9,
2019,127488768,1,
2019,127489299,10,
2019,123437560,10,
2019,130389513,10,
2019,133058333,10,
2019,128480148,6,
2019,128473740,9,
2019,128477241,1,
2019,128490199,9,
2019,128477805,10,
2019,128509016,1,
2019,128510146,1,
2019,124637791,1,
2019,127455634,6,
2019,127483328,1,
2019,132876713,10,
2019,125500932,10,
2019,129326392,10,
2019,131412443,1,
2019,124633825,1,
2019,124637008,1,
2019,124645302,10,
2019,124655122,1,
2019,128465433,8,
2019,132872433,10,
2019,123012884,8,
2019,116822864,1,
2019,123401126,10,
2019,128464123,1,
2019,133805666,10,
2019,133812225,1,
2019,128478824,9,
2019,123103298,1,
2019,123098557,10,
2019,133798108,3,
2019,123406280,1,
2019,123120879,10,
2019,123426206,10,
2019,123932952,9,
2019,134706819,10,
2019,123388950,10,
2019,115653463,9,
2019,120116186,10,
2019,123400367,1,
2019,123426345,9,
2019,115707179,10,
2019,116801127,1,
2019,116805923,10,
2019,116826242,1,
2019,117876145,1,
2019,116813388,1,
2019,123917332,1,
2019,123922380,1,
2019,128496467,9,
2019,123920105,9,
2019,132909640,1,
2019,132909999,1,
2019,130357294,10,
2019,123111482,10,
2019,133809552,6,
2019,133805199,4,
2019,125505356,1,
2019,131448440,1,
2019,132853671,10,
2019,132882683,9,
2019,131432141,1,
2019,131444070,1,
2019,131440890,1,
2019,133813575,9,
2019,131446949,10,
2019,131411012,10,
2019,130360659,10,
2019,133811902,10,
2019,132885240,9,
2019,129360053,9,
2019,129366596,1,
2019,128490449,10,
2019,131403679,10,
2019,131419584,10,
2019,131437976,10,
2019,131437630,10,
2019,131452975,1,
2019,131395247,9,
2019,131401592,9,
2019,129355878,1,
2019,131394259,1,
